,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.88,147.33,57.0,62,75,11.41,AU,1603761521
1,Gulbene,57.18,26.75,48.42,89,95,10.07,LV,1603761602
2,Castro,-24.79,-50.01,62.35,90,100,3.02,BR,1603761602
3,Esperance,-33.87,121.9,66.2,72,0,5.82,AU,1603761602
4,Kapaa,22.08,-159.32,75.2,78,75,16.11,US,1603761603
5,Husavik,66.04,-17.34,35.6,59,90,5.82,IS,1603761603
6,Souillac,-20.52,57.52,71.6,78,40,8.05,MU,1603761603
7,Saint Paul Harbor,57.79,-152.41,51.8,43,1,26.4,US,1603761603
8,Tibati,6.47,12.63,66.04,67,40,2.08,CM,1603761604
9,Hithadhoo,-0.6,73.08,83.3,64,93,7.05,MV,1603761604
10,Ribeira Grande,38.52,-28.7,68.56,93,100,16.28,PT,1603761604
11,Rikitea,-23.12,-134.97,75.31,87,100,13.44,PF,1603761604
12,Hambantota,6.12,81.12,78.8,94,75,2.24,LK,1603761605
13,Tuyen Quang,21.82,105.22,75.96,77,2,1.88,VN,1603761539
14,Mataura,-46.19,168.86,57.99,62,96,5.01,NZ,1603761606
15,Mar del Plata,-38.0,-57.56,57.0,76,0,4.7,AR,1603761606
16,Ventspils,57.39,21.56,53.6,100,90,10.29,LV,1603761606
17,Yellowknife,62.46,-114.35,23.0,67,90,11.41,CA,1603761607
18,Bengkulu,-3.8,102.27,77.86,77,100,1.9,ID,1603761607
19,Nikolskoye,59.7,30.79,50.0,87,90,6.71,RU,1603761607
20,Ushuaia,-54.8,-68.3,50.0,34,20,16.11,AR,1603761607
21,Albany,42.6,-73.97,51.01,88,100,3.18,US,1603761607
22,Bredasdorp,-34.53,20.04,64.4,88,49,3.36,ZA,1603761608
23,Busselton,-33.65,115.33,69.01,66,66,7.0,AU,1603761608
24,Bealanana,-14.55,48.73,62.65,84,97,2.04,MG,1603761608
25,Ferme-Neuve,46.7,-75.45,34.72,94,100,4.92,CA,1603761608
26,Vaini,-21.2,-175.2,78.8,78,75,9.17,TO,1603761608
27,Hilo,19.73,-155.09,78.8,83,90,5.82,US,1603761493
28,Houston,29.76,-95.36,75.99,88,75,13.87,US,1603761609
29,Cape Town,-33.93,18.42,61.0,87,0,6.93,ZA,1603761609
30,Atuona,-9.8,-139.03,78.89,74,70,19.91,PF,1603761609
31,Puerto Ayora,-0.74,-90.35,68.0,92,43,1.99,EC,1603761556
32,Avarua,-21.21,-159.78,73.4,73,100,10.29,CK,1603761610
33,Washington,47.5,-120.5,37.0,62,0,2.28,US,1603761453
34,Bahía Honda,22.9,-83.16,78.73,87,100,15.05,CU,1603761610
35,Port Lincoln,-34.73,135.87,60.13,74,24,11.27,AU,1603761610
36,Bosaso,11.28,49.18,72.28,66,64,1.61,SO,1603761610
37,Zwevegem,50.78,3.38,46.4,87,40,8.05,BE,1603761610
38,Port Hedland,-20.32,118.57,82.4,65,0,8.05,AU,1603761611
39,Swanzey,42.87,-72.28,46.4,93,90,2.48,US,1603761611
40,Arraial do Cabo,-22.97,-42.03,72.19,88,0,11.39,BR,1603761612
41,Holt,42.64,-84.52,41.0,80,90,3.36,US,1603761331
42,Hong Kong,22.29,114.16,78.01,68,63,3.0,HK,1603761438
43,Butaritari,3.07,172.79,81.55,68,21,11.1,KI,1603761612
44,Oranjemund,-28.55,16.43,57.96,92,76,7.27,NA,1603761613
45,Nālūt,30.33,10.85,60.28,43,0,4.99,LY,1603761613
46,Tuktoyaktuk,69.45,-133.04,10.4,78,20,12.75,CA,1603761613
47,Pozo Colorado,-23.49,-58.8,70.38,80,0,2.39,PY,1603761613
48,Tasiilaq,65.61,-37.64,33.8,47,100,21.92,GL,1603761614
49,Zhuhai,22.28,113.57,80.01,78,0,9.17,CN,1603761614
50,Kahului,20.89,-156.47,89.6,52,40,10.29,US,1603761614
51,Taoudenni,22.68,-3.98,83.26,21,0,6.13,ML,1603761614
52,Joaçaba,-27.18,-51.5,66.27,90,91,5.28,BR,1603761614
53,Seveso,45.64,9.15,50.0,99,100,8.12,IT,1603761615
54,Puqi,29.72,113.88,67.87,56,7,1.14,CN,1603761615
55,Cherskiy,68.75,161.3,6.89,94,81,6.93,RU,1603761615
56,Lengshuitan,26.41,111.6,67.21,67,33,3.42,CN,1603761615
57,Acaraú,-2.89,-40.12,78.1,83,0,13.56,BR,1603761616
58,Ilulissat,69.22,-51.1,19.4,73,100,2.24,GL,1603761616
59,Port Elizabeth,-33.92,25.57,64.4,88,90,16.11,ZA,1603761616
60,Saint George,37.1,-113.58,46.4,9,1,27.51,US,1603761485
61,Punta Arenas,-53.15,-70.92,46.4,78,20,27.51,CL,1603761616
62,Kentau,43.52,68.51,37.53,78,45,1.59,KZ,1603761617
63,Kavieng,-2.57,150.8,85.64,60,20,5.28,PG,1603761617
64,Mahébourg,-20.41,57.7,71.6,78,40,8.05,MU,1603761617
65,Santa Rosa,14.31,121.11,86.0,78,75,9.17,PH,1603761617
66,Varhaug,58.61,5.65,46.0,99,44,4.0,NO,1603761618
67,Hamilton,39.18,-84.53,48.2,81,90,4.7,US,1603761618
68,Jamestown,42.1,-79.24,44.01,93,90,5.82,US,1603761618
69,East London,-33.02,27.91,67.78,87,100,19.04,ZA,1603761619
70,Camargo,27.67,-105.17,76.77,26,0,26.71,MX,1603761619
71,Vostok,46.49,135.88,40.69,71,86,2.08,RU,1603761619
72,Kangaba,11.93,-8.42,72.45,28,40,0.49,ML,1603761619
73,Inhambane,-23.86,35.38,72.37,89,12,4.99,MZ,1603761620
74,Chokurdakh,70.63,147.92,5.85,95,100,10.67,RU,1603761620
75,Ville-Marie,47.33,-79.43,23.0,85,1,4.7,CA,1603761620
76,Sungai Penuh,-2.08,101.38,69.75,77,100,2.08,ID,1603761620
77,Barra Patuca,15.8,-84.28,79.66,74,100,6.76,HN,1603761621
78,Haines Junction,60.75,-137.51,35.28,83,0,8.08,CA,1603761622
79,Bluff,-46.6,168.33,57.99,62,29,5.01,NZ,1603761622
80,Alekseyevka,50.63,38.69,47.44,71,100,8.99,RU,1603761623
81,Airai,-8.93,125.41,74.82,64,61,2.68,TL,1603761623
82,Ponta do Sol,32.67,-17.1,66.2,68,40,9.17,PT,1603761623
83,Sinnamary,5.38,-52.95,79.81,84,3,8.7,GF,1603761624
84,Volga,57.95,38.39,41.36,89,100,9.1,RU,1603761624
85,Honningsvåg,70.98,25.97,40.75,77,62,21.92,NO,1603761625
86,Adrar,20.5,-10.07,84.29,14,0,5.97,MR,1603761625
87,Hermanus,-34.42,19.23,63.0,86,0,1.99,ZA,1603761625
88,Tiksi,71.69,128.87,6.26,94,100,5.46,RU,1603761626
89,Pacific Grove,36.62,-121.92,62.01,43,0,1.01,US,1603761626
90,Oussouye,12.48,-16.55,84.2,89,0,4.7,SN,1603761626
91,Dikson,73.51,80.55,10.53,95,69,16.84,RU,1603761626
92,Matagami,49.75,-77.63,23.0,85,90,11.41,CA,1603761627
93,Texarkana,33.43,-94.05,51.8,93,90,11.41,US,1603761541
94,Itaituba,-4.28,-55.98,82.13,63,0,1.9,BR,1603761627
95,Kumul,42.8,93.45,39.85,60,100,3.38,CN,1603761627
96,Ko Samui,9.54,99.94,82.4,78,20,3.36,TH,1603761627
97,Laas,46.62,10.7,45.0,69,75,8.05,IT,1603761627
98,Saint Anthony,45.02,-93.22,26.6,58,1,4.7,US,1603761628
99,Bairiki Village,1.33,172.98,86.0,66,40,9.17,KI,1603761628
100,Atasū,48.68,71.64,38.82,75,9,17.31,KZ,1603761628
101,Pangnirtung,66.15,-65.71,7.63,83,3,7.78,CA,1603761629
102,Kabin Buri,13.95,101.72,72.84,93,100,2.98,TH,1603761629
103,Lorengau,-2.02,147.27,82.04,79,78,5.91,PG,1603761629
104,Thompson,55.74,-97.86,23.0,57,5,6.93,CA,1603761489
105,Petropavlivka,48.46,36.44,50.49,62,98,11.9,UA,1603761630
106,Severo-Kuril'sk,50.68,156.12,44.85,81,99,5.1,RU,1603761630
107,Qaanaaq,77.48,-69.36,8.64,76,99,8.9,GL,1603761630
108,Rocha,-34.48,-54.33,54.18,63,100,11.07,UY,1603761447
109,Lac-Mégantic,45.58,-70.88,41.0,93,100,1.01,CA,1603761526
110,Altea,38.6,-0.05,60.01,43,0,7.0,ES,1603761631
111,Vangaindrano,-23.35,47.6,66.63,88,0,4.29,MG,1603761631
112,Saint-Philippe,-21.36,55.77,71.6,78,90,13.71,RE,1603761631
113,Swan River,52.11,-101.27,17.55,93,0,9.95,CA,1603761632
114,Cabo San Lucas,22.89,-109.91,82.99,65,20,12.75,MX,1603761632
115,Srednekolymsk,67.45,153.68,10.36,91,0,5.7,RU,1603761632
116,Lompoc,34.64,-120.46,62.6,55,1,8.05,US,1603761594
117,Heidelberg,-26.5,28.36,63.0,72,100,5.1,ZA,1603761395
118,Chapais,49.78,-74.85,28.4,100,90,4.7,CA,1603761372
119,Sorong,-0.88,131.25,83.68,67,52,0.94,ID,1603761633
120,Oodweyne,9.41,45.06,66.38,27,64,1.52,SO,1603761633
121,Yablonovo,50.85,37.36,44.6,87,0,6.71,RU,1603761633
122,Kiryat Gat,31.61,34.76,70.0,100,0,1.16,IL,1603761633
123,Grindavik,63.84,-22.43,39.2,74,90,21.92,IS,1603761634
124,Upernavik,72.79,-56.15,17.4,83,50,4.74,GL,1603761487
125,Margate,51.38,1.39,51.01,88,2,1.99,GB,1603761634
126,Batagay-Alyta,67.8,130.41,8.69,93,100,2.59,RU,1603761635
127,Barrow,71.29,-156.79,19.4,85,90,10.29,US,1603761635
128,Sudak,44.85,34.97,65.61,62,97,4.21,UA,1603761608
129,Shunyi,40.12,116.65,59.0,20,0,8.95,CN,1603761635
130,Kruisfontein,-34.0,24.73,64.99,88,0,1.99,ZA,1603761635
131,Aksu,41.12,80.26,41.31,58,65,2.42,CN,1603761636
132,Mahina,-17.51,-149.49,82.0,74,75,12.75,PF,1603761636
133,Upington,-28.45,21.26,77.0,22,0,5.82,ZA,1603761636
134,Florø,61.6,5.03,48.2,81,76,10.29,NO,1603761637
135,Clyde River,70.47,-68.59,10.13,86,0,4.23,CA,1603761637
136,Touros,-5.2,-35.46,77.0,88,20,4.7,BR,1603761637
137,Muros,42.78,-9.06,57.0,86,100,11.99,ES,1603761637
138,Pochutla,15.74,-96.47,75.0,95,100,1.68,MX,1603761637
139,Kudahuvadhoo,2.67,72.89,82.54,73,1,6.08,MV,1603761638
140,Isangel,-19.55,169.27,82.4,61,40,9.17,VU,1603761638
141,Khatanga,71.97,102.5,1.67,94,87,8.9,RU,1603761638
142,Gladstone,-23.85,151.25,78.8,74,90,9.17,AU,1603761638
143,Codrington,-38.27,141.97,59.31,73,87,14.45,AU,1603761639
144,Norman Wells,65.28,-126.83,24.8,79,75,20.8,CA,1603761639
145,Robertson,36.52,-86.87,55.0,93,90,8.05,US,1603761640
146,Vila Velha,-20.33,-40.29,73.4,78,0,13.87,BR,1603761352
147,Vestmannaeyjar,63.44,-20.27,42.93,75,100,35.41,IS,1603761640
148,Gizo Government Station,-8.1,156.84,83.37,72,77,3.83,SB,1603761641
149,Mount Isa,-20.73,139.5,78.8,16,90,12.75,AU,1603761641
150,Cap Malheureux,-19.98,57.61,72.0,77,3,4.0,MU,1603761641
151,Vila Franca do Campo,37.72,-25.43,68.0,88,75,18.34,PT,1603761641
152,Mabaruma,8.2,-59.78,76.37,91,96,3.42,GY,1603761642
153,Pevek,69.7,170.31,22.42,93,99,19.57,RU,1603761642
154,Katsuura,35.13,140.3,64.99,59,75,13.87,JP,1603761642
155,Lebu,-37.62,-73.65,51.48,85,100,6.35,CL,1603761643
156,New Norfolk,-42.78,147.06,57.0,49,84,3.0,AU,1603761643
157,Sitka,57.05,-135.33,50.0,87,90,10.29,US,1603761379
158,Kiunga,-6.12,141.29,90.0,61,44,1.66,PG,1603761644
159,Al Bardīyah,31.76,25.09,68.56,65,0,7.54,LY,1603761644
160,Shingū,33.73,135.98,62.6,55,20,6.93,JP,1603761644
161,Sola,-13.88,167.55,80.6,88,75,11.41,VU,1603761644
162,Port Alfred,-33.59,26.89,67.5,85,94,25.99,ZA,1603761645
163,Hasaki,35.73,140.83,64.99,77,75,9.17,JP,1603761645
164,Carnarvon,-24.87,113.63,71.6,78,0,21.92,AU,1603761645
165,Bubaque,11.28,-15.83,82.71,80,5,11.36,GW,1603761645
166,Sobolevo,54.43,31.9,43.47,91,21,11.1,RU,1603761645
167,George Town,5.41,100.34,80.6,94,20,4.7,MY,1603761433
168,Cairns,-16.92,145.77,90.0,52,79,6.93,AU,1603761526
169,Ulladulla,-35.35,150.47,57.99,93,75,9.17,AU,1603761646
170,Ust-Maya,60.42,134.53,17.06,91,85,2.48,RU,1603761646
171,Pisco,-13.7,-76.22,64.4,77,0,13.87,PE,1603761646
172,Bambous Virieux,-20.34,57.76,72.0,78,40,8.05,MU,1603761646
173,Acapulco de Juárez,16.86,-99.89,84.2,83,75,5.82,MX,1603761646
174,Zhigansk,66.77,123.37,0.64,92,100,11.95,RU,1603761647
175,Port Hardy,50.7,-127.42,44.6,100,90,5.82,CA,1603761647
176,Goderich,43.75,-81.72,45.0,83,100,5.01,CA,1603761647
177,Kaitangata,-46.28,169.85,55.0,72,32,11.01,NZ,1603761648
178,Chiautla,19.53,-98.88,69.8,37,40,11.41,MX,1603761648
179,Puerto Escondido,15.85,-97.07,77.0,73,90,10.29,MX,1603761394
180,Sompeta,18.93,84.6,75.58,65,0,5.7,IN,1603761648
181,Callaguip,18.07,120.49,82.4,83,75,3.36,PH,1603761648
182,Salalah,17.02,54.09,75.2,60,0,4.5,OM,1603761649
183,Umm Kaddadah,13.6,26.69,79.93,23,0,14.45,SD,1603761649
184,Yangi Marg`ilon,40.43,71.72,44.6,52,0,2.24,UZ,1603761650
185,Smirnykh,49.75,142.83,43.68,68,100,5.19,RU,1603761650
186,Sabla,12.75,4.71,78.01,22,0,5.91,NG,1603761650
187,Gangāpur,26.48,76.72,66.65,27,0,4.32,IN,1603761650
188,Garoowe,8.41,48.48,73.17,75,100,2.95,SO,1603761650
189,Kinna,57.51,12.69,46.99,93,75,9.17,SE,1603761651
190,Atbasar,51.8,68.33,32.41,92,100,20.56,KZ,1603761402
191,Viedma,-40.81,-63.0,69.01,28,100,3.0,AR,1603761651
192,Asău,46.43,26.4,48.0,98,0,3.29,RO,1603761651
193,Trogir,43.51,16.25,66.2,72,3,8.05,HR,1603761651
194,Esna,25.29,32.55,71.6,46,0,10.11,EG,1603761652
195,Portland,45.52,-122.68,51.8,40,1,2.28,US,1603761557
196,Los Llanos de Aridane,28.66,-17.92,69.8,68,20,8.05,ES,1603761652
197,Egvekinot,66.32,-179.17,23.09,96,100,0.81,RU,1603761653
198,Makassar,-5.14,119.42,82.4,74,20,3.36,ID,1603761653
199,San Quintín,30.48,-115.95,66.24,48,0,9.1,MX,1603761653
200,Kamaishi,39.27,141.88,50.0,81,20,2.24,JP,1603761653
201,Aklavik,68.22,-135.01,12.2,78,75,8.05,CA,1603761653
202,Lensk,60.73,114.93,15.26,93,5,2.21,RU,1603761654
203,Rio Grande,-32.03,-52.1,62.01,99,100,5.99,BR,1603761437
204,Banjarmasin,-3.32,114.59,82.4,83,20,2.24,ID,1603761394
205,Yalutorovsk,56.65,66.3,37.24,92,100,28.23,RU,1603761654
206,Richards Bay,-28.78,32.04,66.36,87,100,1.74,ZA,1603761654
207,Najrān,17.49,44.13,60.8,26,0,1.16,SA,1603761654
208,Arkhara,49.42,130.08,42.37,65,100,15.01,RU,1603761655
209,Kaohsiung City,22.62,120.31,84.0,74,75,2.24,TW,1603761655
210,Baruun-Urt,46.68,113.28,25.68,78,0,8.68,MN,1603761655
211,Linxia Chengguanzhen,35.6,103.21,34.81,92,100,3.04,CN,1603761655
212,Kieta,-6.22,155.63,86.4,61,72,5.95,PG,1603761655
213,Buin,-33.73,-70.75,68.0,42,0,11.41,CL,1603761656
214,Normandin,48.83,-72.53,30.2,100,90,2.24,CA,1603761656
215,Findochty,57.7,-2.9,48.2,87,75,8.05,GB,1603761656
216,Lata,40.16,-8.33,53.01,88,55,3.2,PT,1603761656
217,Lüderitz,-26.65,15.16,58.53,79,0,11.59,NA,1603761656
218,Uruçuí,-7.23,-44.56,80.87,69,15,2.66,BR,1603761657
219,Namatanai,-3.67,152.43,85.19,63,63,4.72,PG,1603761657
220,Chui,-33.7,-53.46,56.82,81,100,11.81,UY,1603761657
221,Piet Retief,-27.01,30.81,61.72,95,100,1.21,ZA,1603761657
222,Oddur,4.12,43.89,72.59,86,99,9.48,SO,1603761657
223,Polyarny,69.2,33.45,33.8,100,75,4.47,RU,1603761658
224,Solnechnyy,50.72,136.63,40.32,68,16,3.2,RU,1603761658
225,Altay,47.87,88.12,31.39,77,0,3.74,CN,1603761658
226,Rome,43.21,-75.46,48.2,87,90,6.93,US,1603761511
227,Balkanabat,39.51,54.37,62.37,31,100,2.68,TM,1603761658
228,Saskylakh,71.92,114.08,-0.42,92,92,5.61,RU,1603761659
229,Dingle,11.0,122.67,82.72,80,67,8.14,PH,1603761659
230,Nanortalik,60.14,-45.24,32.95,92,95,10.2,GL,1603761660
231,Antofagasta,-23.65,-70.4,59.0,77,90,9.17,CL,1603761632
232,Avera,33.19,-82.53,68.0,88,90,3.36,US,1603761660
233,Gravdal,68.12,13.5,47.66,76,86,20.45,NO,1603761660
234,Karaton,-6.34,106.1,86.0,83,20,6.93,ID,1603761660
235,Tuatapere,-46.13,167.68,57.99,62,89,5.01,NZ,1603761661
236,Tautira,-17.73,-149.15,82.0,74,75,12.75,PF,1603761662
237,Bathsheba,13.22,-59.52,77.0,94,75,13.87,BB,1603761662
238,Bāgepalli,13.78,77.79,64.4,100,40,1.54,IN,1603761662
239,Kuybyshevo,47.81,38.91,51.53,59,100,13.4,RU,1603761662
240,Cidreira,-30.18,-50.21,68.05,97,100,9.15,BR,1603761662
241,Tooele,40.53,-112.3,32.0,79,1,3.36,US,1603761663
242,Constitución,-35.33,-72.42,50.52,81,100,12.08,CL,1603761663
243,Wanning,18.8,110.4,76.86,80,58,15.79,CN,1603761663
244,Mitú,1.2,-70.17,75.87,92,93,1.86,CO,1603761664
245,Abhā,18.22,42.51,57.2,24,0,5.68,SA,1603761664
246,Vao,-22.67,167.48,73.29,82,35,21.39,NC,1603761664
247,Eirunepé,-6.66,-69.87,76.12,89,51,2.15,BR,1603761664
248,Bambanglipuro,-7.95,110.28,80.04,80,100,7.2,ID,1603761664
249,Esim,4.87,-2.24,77.94,87,93,5.28,GH,1603761665
250,Longyearbyen,78.22,15.64,26.6,79,75,8.05,SJ,1603761496
251,Pitimbu,-7.47,-34.81,78.8,83,40,5.82,BR,1603761665
252,Wonthaggi,-38.6,145.59,59.0,76,100,17.13,AU,1603761665
253,Paamiut,61.99,-49.67,31.59,90,3,25.93,GL,1603761665
254,São Filipe,14.9,-24.5,80.13,78,100,8.68,CV,1603761666
255,Havre-St-Pierre,50.23,-63.6,30.2,92,90,3.36,CA,1603761666
256,College,64.86,-147.8,30.2,86,90,4.68,US,1603761396
257,Shubarshi,48.59,57.19,33.17,86,0,16.13,KZ,1603761666
258,Kolokani,13.57,-8.03,74.03,18,21,5.44,ML,1603761666
259,Darnah,32.77,22.64,68.49,61,0,1.77,LY,1603761667
260,Broken Hill,-31.95,141.43,55.4,82,90,8.05,AU,1603761667
261,Beisfjord,68.38,17.6,41.0,75,61,9.17,NO,1603761667
262,Santa Cruz de la Sierra,-17.8,-63.17,71.6,78,75,5.82,BO,1603761389
263,Kushiro,42.98,144.37,51.8,66,20,2.24,JP,1603761667
264,Itarema,-2.92,-39.92,78.42,82,0,13.51,BR,1603761668
265,Stornoway,58.21,-6.39,45.0,100,54,4.7,GB,1603761668
266,Kharp,66.8,65.81,4.93,92,0,0.85,RU,1603761672
267,Tara,56.89,74.37,42.12,94,100,9.95,RU,1603761672
268,Ibrā’,22.69,58.53,58.14,66,0,2.28,OM,1603761672
269,Malanville,11.87,3.39,74.8,31,27,2.37,BJ,1603761672
270,Savinka,50.08,47.1,35.73,83,0,8.32,RU,1603761672
271,Hofn,64.25,-15.21,36.5,78,40,12.3,IS,1603761673
272,Ganta,7.3,-8.53,69.69,89,70,1.3,LR,1603761673
273,Necochea,-38.55,-58.74,51.01,86,0,5.99,AR,1603761674
274,Peniche,39.36,-9.38,55.0,86,49,5.64,PT,1603761674
275,Poya,-21.35,165.15,82.87,49,1,4.34,NC,1603761674
276,Cayenne,4.93,-52.33,78.8,100,75,4.7,GF,1603761599
277,Grand-Lahou,5.14,-5.02,78.06,86,96,6.6,CI,1603761675
278,Bang Saphan,11.21,99.51,82.0,100,20,3.49,TH,1603761675
279,Samarai,-10.62,150.67,81.93,79,100,6.76,PG,1603761676
280,Tatvan,38.51,42.28,43.9,55,0,0.87,TR,1603761676
281,Chirongui,-12.93,45.15,75.2,88,40,2.24,YT,1603761676
282,Danielskuil,-28.19,23.54,63.79,60,13,11.54,ZA,1603761677
283,Alice Springs,-23.7,133.88,73.4,18,0,8.05,AU,1603761677
284,Sisimiut,66.94,-53.67,19.92,90,49,8.61,GL,1603761677
285,Mpanda,-6.37,31.04,71.24,70,84,4.32,TZ,1603761677
286,Nacala,-14.54,40.67,72.86,86,0,0.89,MZ,1603761678
287,Verkh-Usugli,52.7,115.17,23.05,80,0,6.6,RU,1603761678
288,Province of Trapani,37.83,12.67,71.01,88,40,1.12,IT,1603761678
289,Cortez,37.35,-108.59,26.6,63,1,4.7,US,1603761679
290,Casper,42.87,-106.31,21.2,53,1,12.75,US,1603761483
291,Montijo,38.71,-8.97,55.99,87,0,2.24,PT,1603761679
292,Auki,-8.77,160.7,83.08,78,100,4.38,SB,1603761680
293,Deda,46.93,24.9,48.2,93,90,4.7,RO,1603761680
294,Leningradskiy,69.38,178.42,26.56,95,100,16.82,RU,1603761680
295,Klaksvík,62.23,-6.59,33.8,66,51,7.47,FO,1603761680
296,Sabang,5.89,95.32,82.58,73,0,17.58,ID,1603761680
297,Griffith,41.53,-87.42,39.2,70,90,3.36,US,1603761639
298,Ahipara,-35.17,173.17,68.81,73,55,8.03,NZ,1603761681
299,Mosquera,4.71,-74.23,57.2,93,40,4.7,CO,1603761681
300,Brae,60.4,-1.35,46.4,100,0,3.36,GB,1603761681
301,Sibolga,1.74,98.78,80.19,73,86,1.36,ID,1603761681
302,Belaya Gora,68.53,146.42,5.59,89,45,3.51,RU,1603761682
303,Shihezi,44.3,86.03,37.71,71,0,3.13,CN,1603761682
304,Amboasary,-25.03,46.38,71.6,94,20,20.8,MG,1603761682
305,São José da Coroa Grande,-8.9,-35.15,76.87,82,0,10.85,BR,1603761683
306,Ālampur,15.88,78.15,71.37,81,0,4.68,IN,1603761683
307,Port Macquarie,-31.43,152.92,73.99,54,68,4.0,AU,1603761684
308,Timmins,48.47,-81.33,15.8,100,5,3.36,CA,1603761684
309,Geraldton,-28.77,114.6,71.6,56,0,11.41,AU,1603761687
310,Saldanha,-33.01,17.94,60.8,87,4,3.36,ZA,1603761688
311,Abaza,52.66,90.09,35.26,81,100,3.44,RU,1603761688
312,Comodoro Rivadavia,-45.87,-67.5,62.6,42,0,13.87,AR,1603761688
313,Rawson,-43.3,-65.1,63.41,37,100,6.29,AR,1603761688
314,Avila,40.58,-5.0,39.99,85,99,1.01,ES,1603761688
315,Bontang,0.13,117.5,81.41,75,75,8.81,ID,1603761689
316,Fortuna,40.6,-124.16,57.99,36,1,11.41,US,1603761482
317,Chandler,33.31,-111.84,62.01,9,20,8.05,US,1603761689
318,Mogadishu,2.04,45.34,79.21,83,48,7.14,SO,1603761689
319,Lagoa,39.05,-27.98,67.73,93,100,17.2,PT,1603761690
320,Torbay,47.67,-52.73,37.99,59,90,11.41,CA,1603761690
321,Gallup,35.53,-108.74,24.8,79,90,11.41,US,1603761690
322,Provideniya,64.38,-173.3,33.8,74,90,4.47,RU,1603761690
323,Bandarbeyla,9.49,50.81,74.1,78,20,9.08,SO,1603761691
324,Mount Gambier,-37.83,140.77,57.2,71,90,13.87,AU,1603761691
325,Faya,18.39,42.45,55.4,24,0,5.82,SA,1603761692
326,Lookan,5.04,120.1,83.12,78,100,16.87,PH,1603761692
327,Grootfontein,-19.57,18.12,70.0,39,31,13.0,NA,1603761692
328,San Isidro,-12.12,-77.05,62.6,82,0,12.75,PE,1603761692
329,Seymchan,62.88,152.43,20.19,91,0,4.23,RU,1603761692
330,Şırnak,37.52,42.46,46.62,53,16,4.34,TR,1603761692
331,Port Huron,42.97,-82.42,41.0,75,75,4.7,US,1603761693
332,Narsaq,60.92,-46.05,33.8,59,96,3.36,GL,1603761693
333,Qaqortoq,60.72,-46.03,33.8,59,86,3.36,GL,1603761693
